date_vente,produit,montant,region
2026-06-01,Console Nova,6866.67,Nord
2026-06-02,Console Nova,6866.67,Sud
2026-06-03,Console Nova,6866.67,Est
2026-06-04,Console Nova,6866.67,Nord
2026-06-05,Console Nova,6866.67,Sud
2026-06-06,Console Nova,6866.67,Est
2026-06-07,Casque Aura,850.0,Nord
2026-06-08,Casque Aura,850.0,Sud
2026-06-09,Casque Aura,850.0,Est
2026-06-10,Casque Aura,850.0,Nord
2026-06-11,Casque Aura,850.0,Sud
2026-06-12,Casque Aura,850.0,Est
2026-06-13,Clavier Lumen,550.0,Nord
2026-06-14,Clavier Lumen,550.0,Sud
2026-06-15,Clavier Lumen,550.0,Est
2026-06-16,Clavier Lumen,550.0,Nord
2026-06-17,Clavier Lumen,550.0,Sud
2026-06-18,Clavier Lumen,550.0,Est
2026-06-19,Souris Orbit,350.0,Nord
2026-06-20,Souris Orbit,350.0,Sud
2026-06-21,Souris Orbit,350.0,Est
2026-06-22,Souris Orbit,350.0,Nord
2026-06-23,Souris Orbit,350.0,Sud
2026-06-24,Souris Orbit,350.0,Est
2026-06-25,Tapis Flux,175.0,Nord
2026-06-26,Tapis Flux,175.0,Sud
2026-06-27,Tapis Flux,175.0,Est
2026-06-28,Tapis Flux,175.0,Nord
2026-06-29,Tapis Flux,175.0,Sud
2026-06-30,Tapis Flux,175.0,Est
