date_releve,entrepot,quantite_stock
2026-06-01,Lyon,124.38
2026-06-02,Nantes,106.86
2026-06-03,Lille,118.68
2026-06-04,Lyon,110.12
2026-06-05,Nantes,116.11
2026-06-06,Lille,116.21
2026-06-07,Lyon,109.27
2026-06-08,Nantes,114.1
2026-06-09,Lille,384.0
2026-06-10,Lyon,117.42
2026-06-11,Nantes,145.54
2026-06-12,Lille,125.85
2026-06-13,Lyon,102.74
2026-06-14,Nantes,117.57
2026-06-15,Lille,139.57
2026-06-16,Lyon,117.13
2026-06-17,Nantes,109.32
2026-06-18,Lille,384.0
2026-06-19,Lyon,384.0
2026-06-20,Nantes,129.03
2026-06-21,Lille,127.77
2026-06-22,Lyon,129.9
2026-06-23,Nantes,119.21
2026-06-24,Lille,126.35
2026-06-25,Lyon,120.96
2026-06-26,Nantes,128.2
2026-06-27,Lille,110.14
2026-06-28,Lyon,384.0
2026-06-29,Nantes,130.46
2026-06-30,Lille,124.36
